Google Ads Report may to August 2026
"May 1, 2026 - August 10, 2026"
Day,Campaign,Conversions,Currency code,Cost,Conv. value
2026-06-25,Search - Brand - Pesado 58.5 - 2026,0.00,AUD,0.00,0.00
2026-06-25,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,0.00,0.00
2026-06-26,Search - Brand - Pesado 58.5 - 2026,8.00,AUD,70.91,753.01
2026-06-26,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,1.26,0.00
2026-06-27,Search - Brand - Pesado 58.5 - 2026,21.00,AUD,71.16,"3,237.03"
2026-06-27,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,28.24,0.00
2026-06-28,Search - Brand - Pesado 58.5 - 2026,40.00,AUD,72.18,"3,846.02"
2026-06-28,Pesado58.5 - Smart Shopping - All Catalog - 2026,9.00,AUD,119.98,957.76
2026-06-29,Search - Brand - Pesado 58.5 - 2026,47.00,AUD,68.99,"4,714.69"
2026-06-29,Pesado58.5 - Smart Shopping - All Catalog - 2026,13.00,AUD,94.76,"2,699.93"
2026-06-30,Search - Brand - Pesado 58.5 - 2026,64.00,AUD,100.00,"6,930.69"
2026-06-30,Pesado58.5 - Smart Shopping - All Catalog - 2026,4.00,AUD,56.60,325.46
2026-07-01,Search - Brand - Pesado 58.5 - 2026,46.33,AUD,130.09,"6,713.15"
2026-07-01,Pesado58.5 - Smart Shopping - All Catalog - 2026,2.00,AUD,57.48,159.98
2026-07-02,Search - Brand - Pesado 58.5 - 2026,33.93,AUD,170.84,"3,053.04"
2026-07-02,Pesado58.5 - Smart Shopping - All Catalog - 2026,6.00,AUD,40.40,522.75
2026-07-03,Search - Brand - Pesado 58.5 - 2026,26.90,AUD,312.62,"2,548.29"
2026-07-03,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,100.03,0.00
2026-07-04,Search - Brand - Pesado 58.5 - 2026,52.00,AUD,314.37,"6,207.11"
2026-07-04,Pesado58.5 - Smart Shopping - All Catalog - 2026,12.00,AUD,80.64,"1,028.98"
2026-07-05,Search - Brand - Pesado 58.5 - 2026,51.00,AUD,239.10,"6,389.62"
2026-07-05,Pesado58.5 - Smart Shopping - All Catalog - 2026,8.00,AUD,111.73,811.74
2026-07-06,Search - Brand - Pesado 58.5 - 2026,40.00,AUD,182.26,"5,488.29"
2026-07-06,Pesado58.5 - Smart Shopping - All Catalog - 2026,11.00,AUD,56.26,902.94
2026-07-07,Search - Brand - Pesado 58.5 - 2026,38.33,AUD,225.21,"4,370.34"
2026-07-07,Pesado58.5 - Smart Shopping - All Catalog - 2026,12.20,AUD,117.89,"1,469.33"
2026-07-08,Search - Brand - Pesado 58.5 - 2026,44.50,AUD,417.38,"6,020.34"
2026-07-08,Pesado58.5 - Smart Shopping - All Catalog - 2026,20.00,AUD,136.01,"2,939.74"
2026-07-09,Search - Brand - Pesado 58.5 - 2026,48.50,AUD,400.97,"6,844.94"
2026-07-09,Pesado58.5 - Smart Shopping - All Catalog - 2026,3.00,AUD,44.29,233.39
2026-07-10,Search - Brand - Pesado 58.5 - 2026,45.67,AUD,404.99,"6,492.87"
2026-07-10,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,5.25,0.00
2026-07-11,Search - Brand - Pesado 58.5 - 2026,55.33,AUD,339.52,"6,197.04"
2026-07-11,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,25.65,0.00
2026-07-12,Search - Brand - Pesado 58.5 - 2026,58.90,AUD,322.87,"6,099.12"
2026-07-12,Pesado58.5 - Smart Shopping - All Catalog - 2026,1.60,AUD,77.77,86.16
2026-07-13,Search - Brand - Pesado 58.5 - 2026,50.67,AUD,250.31,"6,315.46"
2026-07-13,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,196.23,0.00
2026-07-14,Search - Brand - Pesado 58.5 - 2026,53.25,AUD,303.62,"5,965.80"
2026-07-14,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,182.00,0.00
