Mario
"June 25, 2026 - August 13, 2026"
Campaign,Day,Currency code,Cost,Conversions,Conv. value
Search - Brand - Pesado 58.5 - 2026,2026-06-25,AUD,0.00,0.00,0.00
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-25,AUD,0.00,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-06-26,AUD,70.91,8.00,753.01
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-26,AUD,1.26,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-06-27,AUD,71.16,21.00,"3,237.03"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-27,AUD,28.24,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-06-28,AUD,72.18,40.00,"3,846.02"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-28,AUD,119.98,9.00,957.76
Search - Brand - Pesado 58.5 - 2026,2026-06-29,AUD,68.99,47.00,"4,714.69"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-29,AUD,94.76,13.00,"2,699.93"
Search - Brand - Pesado 58.5 - 2026,2026-06-30,AUD,100.00,64.00,"6,930.69"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-06-30,AUD,56.60,4.00,325.46
Search - Brand - Pesado 58.5 - 2026,2026-07-01,AUD,130.09,46.33,"6,713.15"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-01,AUD,57.48,2.00,159.98
Search - Brand - Pesado 58.5 - 2026,2026-07-02,AUD,170.84,33.93,"3,053.04"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-02,AUD,40.40,6.00,522.75
Search - Brand - Pesado 58.5 - 2026,2026-07-03,AUD,312.62,26.90,"2,548.29"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-03,AUD,100.03,0.00,0.00
Search - Brand - Pesado 58.5 - 2026,2026-07-04,AUD,314.37,52.00,"6,207.11"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-04,AUD,80.64,12.00,"1,028.98"
Search - Brand - Pesado 58.5 - 2026,2026-07-05,AUD,239.10,51.00,"6,389.62"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-05,AUD,111.73,8.00,811.74
Search - Brand - Pesado 58.5 - 2026,2026-07-06,AUD,182.26,40.00,"5,488.29"
Pesado58.5 - Smart Shopping - All Catalog - 2026,2026-07-06,AUD,56.26,11.00,902.94
