"Product title","Product variant title","Product variant SKU","Month","Shipping country","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Pesado EP Filter Basket","EP-Breville54-18g","EP-BR-18g","2025-01-01","United States","2025-01-07",1,20,0,0,20,0,20
"Espresso Shot Mirror","Default Title","PSDshot-mirror","2025-01-01","United States","2025-01-05",1,28,-2.8,0,25.2,0,25.2
"Hybrid LM/E61/NS/GA Portafilter - Versatile Bottomless & Spouted","E61 5mm / Black | Silver","PF02MV-BSL-HY","2025-01-01","Singapore","2025-01-14",1,140.4,-14.04,0,126.36,0,126.36
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","Breville 54mm / Black / Riga","PF00BR54BK-Riga-HY","2025-01-01","United States","2025-01-25",1,120,-12,0,108,0,108
"Spring-Loaded Self-Leveling Tamper – Pesado x AD Coffee","Default Title","PSD-ADcoffee-Tamper","2025-01-01","United States","2025-01-31",1,120,0,0,120,0,120
"53.5 & 58.5mm Puck Diffuser Screen","53.5mm","PSD-puck-54","2025-01-01","United States","2025-01-13",2,40,-2,0,38,0,38
"Magnetic Espresso Dosing Ring","54mm Dosing Ring / Black","V2-PSDring-54mm","2025-01-01","United States","2025-01-22",1,22.5,0,0,22.5,0,22.5
"High Extraction He[%] 54mm Breville Filter Basket - Dosing 18g-20g","Default Title","PSD-HE-54","2025-01-01","United States","2025-01-26",1,65,-6.5,0,58.5,0,58.5
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","Breville 54mm / White / Silver","PF00BR54-WSL-HY","2025-01-01","United States","2025-01-28",1,112,-11.2,0,100.8,0,100.8
"Coffee Tamper: 58.5mm & 53.5mm","58.5mm / Black / Riga","PSDTMBKRiga","2025-01-01","United States","2025-01-06",1,97.5,0,0,97.5,0,97.5
"Magnetic Espresso Dosing Ring","54mm Dosing Ring / Black","V2-PSDring-54mm","2025-01-01","United States","2025-01-11",1,22.5,0,0,22.5,0,22.5
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","La Marzocco 6mm / Black / Bronze","PF00LM-BBZ-HY","2025-01-01","United States","2025-01-09",1,112,0,0,112,0,112
"Hybrid LM/E61/NS/GA Portafilter - Versatile Bottomless & Spouted","E61 5mm / Black | Riga","PF02MVBK-Riga-HY","2025-01-01","Singapore","2025-01-10",1,148.32,-14.83,0,133.49,0,133.49
"Pesado EP Filter Basket","EP-22g","EP-22g","2025-01-01","United States","2025-01-25",1,20,-2.01,0,17.99,0,17.99
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-01","United Kingdom","2025-01-15",1,67.16,0,0,67.16,0,67.16
"Naked/Bottomless Portafilter - Head Only (HYBRID)","E61 5mm","PFH00MV-HY","2025-01-01","United States","2025-01-17",1,67.5,0,0,67.5,0,67.5
"Stainless Steel Clump Crusher V2.0 (WDT espresso distribution tool)","Black","V2-PSDcrusher-Black","2025-01-01","Turkey","2025-01-15",1,34.35,-34.35,0,0,0,0
"53.5 & 58.5mm Puck Diffuser Screen","53.5mm","PSD-puck-54","2025-01-01","United States","2025-01-25",1,20,0,0,20,0,20
"Full Moon Wave - Convex Tamper","Black | Riga","PSDT-WAVE-BKRiga","2025-01-01","Singapore","2025-01-04",1,117.51,-11.75,0,105.76,0,105.76
"Impact Gravity Espresso Grounds Distributor (58.4mm)","Black","V2-PSD-distributor","2025-01-01","United States","2025-01-15",1,120,0,0,120,0,120
"Pesado Single Dose Coffee Cellar Stand + 4 Pack of Bean Cellars","Default Title","PSD-Beanstand-combo","2025-01-01","United States","2025-01-16",1,75,0,0,75,0,75
"Pesado 58.5 Portafilter Hybrid Head - Versatile & Easy to Use","La Marzocco 6mm Hybrid","PFH02LM-HY","2025-01-01","United Arab Emirates","2025-01-14",1,94.47,0,0,94.47,0,94.47
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Small","PSD-HE-SM","2025-01-01","United States","2025-01-13",1,65,0,0,65,0,65
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-01","United States","2025-01-09",2,130,0,0,130,0,130
"Modular Portafilter Handles","White / Silver",,"2025-01-01","United States","2025-01-04",1,49.89,0,0,49.89,5.11,55
"Modular Puck Screen Holder - Aluminum Matte Black","Default Title","PSD-PuckHolder","2025-01-01","United States","2025-01-22",1,18,0,0,18,0,18
"Dusk & Haze Clump Crusher (WDT tool)","Dusk","PSDcrusher-Dusk","2025-01-01","United States","2025-01-13",1,34.35,-3.44,0,30.91,0,30.91
"High Extraction He[%] 54mm Breville Filter Basket - Dosing 18g-20g","Default Title","PSD-HE-54","2025-01-01","United States","2025-01-19",3,191.03,-65,0,126.03,3.97,130
"Hybrid LM/E61/NS/GA Portafilter - Versatile Bottomless & Spouted","Nuova Simonelli / Black | Silver","PF02NS-BSL-HY","2025-01-01","Singapore","2025-01-04",1,140.13,-14.01,0,126.12,0,126.12
"Magnetic Espresso Dosing Ring","54mm Dosing Ring / Black","V2-PSDring-54mm","2025-01-01","United States","2025-01-31",2,45,-2.26,0,42.74,0,42.74
"Magnetic Espresso Dosing Ring","58mm Dosing Ring / Black","V2-PSDring-58mm","2025-01-01","United States","2025-01-17",1,22.5,0,0,22.5,0,22.5
"Espresso Shot Mirror","Default Title","PSDshot-mirror","2025-01-01","United States","2025-01-31",1,28,0,0,28,0,28
"Impact Gravity Espresso Grounds Distributor (58.4mm)","Black","V2-PSD-distributor","2025-01-01","United States","2025-01-18",2,240,-24,0,216,0,216
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-01","United States","2025-01-06",1,65,0,0,65,0,65
"Hybrid Breville 54/58mm Portafilter - Versatile and Easy to Use","Breville 54 / White | Iris","PF02BR54WH-Iris-HY","2025-01-01","United States","2025-01-10",1,145,0,0,145,0,145
"Modular Puck Screen Holder - Aluminum Matte Black","Default Title","PSD-PuckHolder","2025-01-01","United States","2025-01-10",1,18,0,0,18,0,18
"Pesado EP Filter Basket","EP-22g","EP-22g","2025-01-01","United States","2025-01-17",1,20,0,0,20,0,20
"Impact Gravity Espresso Grounds Distributor (58.4mm)","Black","V2-PSD-distributor","2025-01-01","United States","2025-01-14",1,120,0,0,120,0,120
"Precision 58mm Breville Bundle: 58mm Portafilter & He[%] Basket","Black","PRE-BR58-SET","2025-01-01","Canada","2025-01-12",-1,0,0,-157.88,-157.88,0,-157.88
,"",,"2025-01-01","United States","2025-01-08",3,0,0,0,0,0,0
"Hybrid Breville 54/58mm Portafilter - Versatile and Easy to Use","Breville 54 / White | Silver","PF02BR54-WSL-HY","2025-01-01","United States","2025-01-13",1,137,-13.7,0,123.3,0,123.3
"Hybrid Breville 54/58mm Portafilter - Versatile and Easy to Use","Breville 54 / Black | Black","PF02BR54-BBK-HY","2025-01-01","Turkey","2025-01-15",1,137,-137,0,0,0,0
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","La Marzocco 6mm / Black Full POM","PF00LM-FullPOM-HY","2025-01-01","South Korea","2025-01-04",1,86.5,0,0,86.5,0,86.5
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - X-Large","PSD-HE-XL","2025-01-01","United Arab Emirates","2025-01-13",1,66.44,0,0,66.44,0,66.44
"Wooden Clump Crusher - WDT Distribution Tool for Fluffy Espresso Puck","Iris","PSDcrusherIRIS","2025-01-01","United States","2025-01-01",1,34.35,-3.43,0,30.92,0,30.92
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-01","United States","2025-01-21",1,65,0,0,65,0,65
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - X-Large","PSD-HE-XL","2025-01-01","United States","2025-01-26",1,65,0,0,65,0,65
"53.5 & 58.5mm Puck Diffuser Screen","58.5mm","PSD-puck","2025-01-01","United States","2025-01-31",1,20,0,0,20,0,20
"High Extraction He[%] 54mm Breville Filter Basket - Dosing 18g-20g","Default Title","PSD-HE-54","2025-01-01","United States","2025-01-01",1,65,-6.51,0,58.49,0,58.49
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-01","United States","2025-01-08",1,65,0,0,65,0,65
"Pesado 58.5 Portafilter Hybrid Head - Versatile & Easy to Use","Nuova Simonelli Hybrid","PFH02NS-HY","2025-01-01","United States","2025-01-09",1,92.5,0,0,92.5,0,92.5
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","E61 5mm / Raya","PF00MVRaya-HY","2025-01-01","United States","2025-01-17",1,120,-12,0,108,0,108
"Modular Portafilter Handles","Black / Bronze","PSDHMODBBZ","2025-01-01","France","2025-01-18",1,56.46,0,0,56.46,0,56.46
"High Extraction He[%] 54mm Breville Filter Basket - Dosing 18g-20g","Default Title","PSD-HE-54","2025-01-01","United States","2025-01-18",1,65,-6.5,0,58.5,0,58.5
"Impact Gravity Espresso Grounds Distributor (58.4mm)","Black","V2-PSD-distributor","2025-01-01","United States","2025-01-19",1,120,-12,0,108,0,108
"Magnetic Espresso Dosing Ring","58mm Dosing Ring / Black","V2-PSDring-58mm","2025-01-01","United States","2025-01-16",2,45,-4.5,0,40.5,0,40.5
"Sunrise Ceramic Coffee Cup and Saucer Set (White)","Default Title","PSD-CeramicSet","2025-01-01","Saudi Arabia","2025-01-29",1,10.4,0,0,10.4,0,10.4
"53.5 & 58.5mm Puck Diffuser Screen","58.5mm","PSD-puck","2025-01-01","United States","2025-01-22",0,20,0,-20,0,0,0
"Hybrid LM/E61/NS/GA Portafilter - Versatile Bottomless & Spouted","E61 5mm / Black | Iris","PF02MVBK-Iris-HY","2025-01-01","Saudi Arabia","2025-01-29",1,147.97,0,0,147.97,0,147.97
"Spring-Loaded Self-Leveling Tamper – Pesado x AD Coffee","Default Title","PSD-ADcoffee-Tamper","2025-01-01","United States","2025-01-30",1,120,0,0,120,0,120
"Impact Gravity Espresso Grounds Distributor (58.4mm)","Black","V2-PSD-distributor","2025-01-01","United States","2025-01-26",1,120,-12,0,108,0,108
"High Extraction He[%] Filter Baskets for a Fuller Coffee Experience","Pesado He[%] Basket - Large","PSD-HE-LG","2025-01-01","United States","2025-01-08",1,65,-6.5,0,58.5,0,58.5
"Pesado EP Filter Basket","EP-Breville54-18g","EP-BR-18g","2025-01-01","United States","2025-01-21",1,20,0,0,20,0,20
"Bottomless LM/E61/NS/GA Portafilter (Hybrid)","E61 5mm / Black / Black","PF00MV-BBK-HY","2025-01-01","United States","2025-01-17",1,112,0,0,112,0,112
"Gravity Coffee Distributor 53.5mm","54 mm","PSD-distributor-54m","2025-01-01","United States","2025-01-23",1,110,0,0,110,0,110
"Pesado EP Filter Basket","EP-22g","EP-22g","2025-01-01","Singapore","2025-01-04",1,20.44,-2.04,0,18.4,0,18.4
"Pesado EP Filter Basket","EP-20g","EP-20g","2025-01-01","United States","2025-01-11",1,20,0,0,20,0,20
"Dusk & Haze Leva Accents","Dusk","PSDleva-dusk","2025-01-01","United States","2025-01-08",2,40.8,-40.8,0,0,0,0
