Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031855,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031855,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031855,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031854,31/10/2025,28/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.63,Completed
ASM-00031854,31/10/2025,28/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Completed
ASM-00031854,31/10/2025,28/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031854,31/10/2025,28/10/2025,PFH00NS-HY,Pesado HYBRID Naked Portafilter Head Only NS,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00031854,31/10/2025,28/10/2025,PF02NS-FullPOM-HY,Pesado HYBRID Double Spouted Portafilter NS - Full POM,PESADO,Main Warehouse,1,32.52,Completed
ASM-00031853,,31/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031853,,31/10/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO,Main Warehouse,-1,-5.30,Parked
ASM-00031853,,31/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031853,,31/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.34,Parked
ASM-00031853,,31/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031853,,31/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031853,,31/10/2025,PRE-BR54-WHSET,Breville 54mm Hybrid Precision Set - White Set,PESADO,Main Warehouse,1,43.06,Parked
ASM-00031852,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031852,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031852,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031851,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031851,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031851,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031850,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031850,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031850,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031849,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031849,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031849,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031848,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031848,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031848,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031847,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031847,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031847,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031846,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-2,0.00,Parked
ASM-00031846,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-2,-5.94,Parked
ASM-00031846,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,2,5.94,Parked
ASM-00031845,,31/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031845,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031845,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
