Sales Enquiry as of 19/08/2025,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total
19/08/2025,,B2B flat fee,Pablo & Rustys,,Main Warehouse,Placed,1,18.18
19/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Pablo & Rustys,The Artisan Barista,Main Warehouse,Placed,8,363.48
19/08/2025,,B2B flat fee,Coffee Machines and Beans,,Main Warehouse,Placed,1,18.18
19/08/2025,PSDdosingCup-BK-54,Pesado 54mm Dosing Cup - Black,Coffee Machines and Beans,PESADO,Main Warehouse,Placed,3,62.05
19/08/2025,ABGR01-WH,Artisan Barista Conical Burr grinder - White,Coffee Machines and Beans,The Artisan Barista,Main Warehouse,Placed,1,97.50
19/08/2025,EP-20g,EP-20g Pesado Basket -electro polished basket,Coffee Machines and Beans,PESADO,Main Warehouse,Placed,6,106.35
19/08/2025,EP-BR-20g,EP-BR-20g Pesado Basket - electro polished basket,Coffee Machines and Beans,PESADO,Main Warehouse,Placed,6,106.35
19/08/2025,EP-BR-18g,EP-BR-18g Pesado Basket - electro polished basket,Coffee Machines and Beans,PESADO,Main Warehouse,Placed,5,88.63
19/08/2025,ABGR01-BK,Artisan Barista Conical Burr grinder - Black,Coffee Machines and Beans,The Artisan Barista,Main Warehouse,Placed,1,97.50
19/08/2025,AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,Coffee Machines and Beans,The Artisan Barista,Main Warehouse,Placed,1,91.59
19/08/2025,HC7107PK,Tiamo Tapered Jug 450ml - Pink,Coffee Machines and Beans,Tiamo,Main Warehouse,Placed,3,75.39
19/08/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Coffee Machines and Beans,PESADO,Main Warehouse,Placed,5,260.00
19/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",Coffee Machines and Beans,PESADO,Main Warehouse,Placed,5,260.00
19/08/2025,PSD-puck-54,Pesado Puck Diffuser Screen 54mm,Coffee Machines and Beans,PESADO,Main Warehouse,Placed,5,81.25
19/08/2025,Courier Fee,Courier Fee,Ona Coffee,,Main Warehouse,Completed,1,28.38
19/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Ona Coffee,The Artisan Barista,Main Warehouse,Completed,30,"1,258.20"
18/08/2025,Courier Fee,Courier Fee,Coffee Galleria,,Main Warehouse,Completed,1,24.67
18/08/2025,HG1765,TiAmo Dosing Cup,Coffee Galleria,Tiamo,Main Warehouse,Completed,4,45.60
18/08/2025,CA3070-Thermometer,C Accessories Analog thermometer,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,12,113.10
18/08/2025,HC7124ST,C Accessories 600ml Jug Stainless Steel,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,12,99.29
18/08/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,12,88.61
18/08/2025,CA3070TM1,C Accessories - Tamping Corner Mat Small,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,12,156.00
18/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Coffee Galleria,PESADO,Main Warehouse,Completed,12,840.00
18/08/2025,KBRubber,Knock Bin Rubber,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,25,185.50
18/08/2025,Courier Fee,Courier Fee,Bean Around Town,,Main Warehouse,Completed,1,24.67
18/08/2025,AB3070CD,Artisan Barista Distributor 58.3mm,Bean Around Town,The Artisan Barista,Main Warehouse,Completed,1,45.50
18/08/2025,HC7123PK,C Accessories 300ml Jug Pink,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,2,20.72
18/08/2025,HC7124BK,C Accessories 600ml Jug Black,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,6,76.90
18/08/2025,HC7124ST,C Accessories 600ml Jug Stainless Steel,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,4,30.55
18/08/2025,Tamp-M-PCBA,Tamp-M Main PCB,Bean Around Town,Tamp-M,Main Warehouse,Completed,1,252.43
18/08/2025,Tamp-M-SensorPCB,Tampmaster SENSOR PCB,Bean Around Town,Tamp-M,Main Warehouse,Completed,1,19.93
18/08/2025,Courier Fee,Courier Fee,Jacobs Douwe Egberts AU PTY LTD,,Main Warehouse,Completed,1,7.28
18/08/2025,RWBaristaCloth,Barista Cloth Set - 4 Pack,Jacobs Douwe Egberts AU PTY LTD,Rhinoware,Main Warehouse,Completed,1,10.50
18/08/2025,Courier Fee,Courier Fee,Central Coast Coffee,,Main Warehouse,Backordered,1,13.95
18/08/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Central Coast Coffee,PESADO,Main Warehouse,Backordered,2,120.00
18/08/2025,PF00BR58-WHZ-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White/Haze,Central Coast Coffee,PESADO,Main Warehouse,Backordered,1,126.06
18/08/2025,PF02BR58-WBZ-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - White/Bronze,Central Coast Coffee,PESADO,Main Warehouse,Backordered,1,126.14
18/08/2025,PF02LM-WGD-HY,Pesado HYBRID Double Spouted Portafilter LM 6mm - White/Gold,Central Coast Coffee,PESADO,Main Warehouse,Backordered,1,126.14
18/08/2025,PF02BR58-WHPOM,Pesado Double Spouted Portafilter Breville 58mm - White Full POM,Central Coast Coffee,PESADO,Main Warehouse,Backordered,1,75.00
18/08/2025,BBlind,Blind Filter 58mm,Central Coast Coffee,Coffee Machine Parts & Accesories,Main Warehouse,Backordered,2,16.00
18/08/2025,,B2B Pickup/Dropship,Coffee Machine Specialist,,Main Warehouse,Completed,1,0.00
18/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Coffee Machine Specialist,The Artisan Barista,Main Warehouse,Completed,3,146.79
18/08/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,Coffee Machine Specialist,PESADO,Main Warehouse,Completed,2,210.00
18/08/2025,PSD-HD-E61,Pesado High Diffusion Shower Screen E61,Coffee Machine Specialist,PESADO,Main Warehouse,Completed,10,604.52
18/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",Coffee Machine Specialist,PESADO,Main Warehouse,Completed,10,560.00
18/08/2025,PSD-puck,Pesado Puck Diffuser Screen 58mm,Coffee Machine Specialist,PESADO,Main Warehouse,Completed,10,175.00
18/08/2025,,B2B flat fee,JDE B2B TM,,Main Warehouse,Parked,1,18.18
18/08/2025,RWBaristaCloth,Barista Cloth Set - 4 Pack,JDE B2B TM,Rhinoware,Main Warehouse,Parked,1,13.00
18/08/2025,Courier Fee,Courier Fee,Danes Coffee,,Main Warehouse,Completed,1,24.67
18/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Danes Coffee,PESADO,Main Warehouse,Completed,15,"1,050.00"
18/08/2025,PFHNS,Pesado Double Spouted Portafilter  Head Only NS,R&D Espresso Lab,PESADO,China-W,Parked,6,240.00
18/08/2025,AB3070JRL,Artisan Barista - Black Jug Rinser Large,R&D Espresso Lab,The Artisan Barista,China-W,Parked,3,320.00
18/08/2025,Courier Fee,Courier Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Completed,1,7.98
18/08/2025,Misc. Product,Misc. Product,PROKURE Aus PTY LTD - Alternative Brewing,Accessories,Main Warehouse,Completed,1,15.00
18/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Completed,1,0.00
18/08/2025,PSD-beantube,Single Dose Bean Cellar - 4pcs,Jetblack Espresso,PESADO,Main Warehouse,Parked,1,25.45
18/08/2025,PSD-Beanstand,Magnetic Bean Stand,Jetblack Espresso,PESADO,Main Warehouse,Parked,2,105.00
