Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
31/10/2025,AB-JR-SealKit,Artisan Barista Jug Rinser - Seal Kit,Reverence Coffee c/o Concept Roasting Pty Ltd,The Artisan Barista,Main Warehouse,Parked,4,65.00,AUS Wholesale
31/10/2025,AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,Chef's Hat,The Artisan Barista,Main Warehouse,Parked,6,507.24,AUS Wholesale
31/10/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Chef's Hat,The Artisan Barista,Main Warehouse,Parked,6,251.64,AUS Wholesale
31/10/2025,AB3070JRL-SS,Artisan Barista - Stainless Steel Jug Rinser Large,Chef's Hat,The Artisan Barista,Main Warehouse,Parked,1,138.00,AUS Wholesale
31/10/2025,CA3070KC,C Accessories Knock Chute,Chef's Hat,Coffee Accessories,Main Warehouse,Parked,1,42.00,AUS Wholesale
31/10/2025,CA3070-Thermometer,C Accessories Analog thermometer,Jacobs Douwe Egberts AU PTY LTD,Coffee Accessories,Main Warehouse,Parked,1,7.25,AUS Wholesale
31/10/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,Jacobs Douwe Egberts AU PTY LTD,Coffee Accessories,Main Warehouse,Parked,2,20.80,AUS Wholesale
31/10/2025,PDJUG500BK,Piazza Doro 500ml Jug Black,Jacobs Douwe Egberts AU PTY LTD,,Main Warehouse,Parked,4,0.00,AUS Wholesale
31/10/2025,CA3070KT,C Accessories Commercial Knock Tube,Jacobs Douwe Egberts AU PTY LTD,Coffee Accessories,Main Warehouse,Parked,1,42.00,AUS Wholesale
31/10/2025,CA3070-groupbrush,C Accessories - group brush for coffee machines,Jacobs Douwe Egberts AU PTY LTD,Coffee Accessories,Main Warehouse,Parked,1,2.00,AUS Wholesale
31/10/2025,CA3070-Shaker,C Accessories - Fine Mesh shaker,Jacobs Douwe Egberts AU PTY LTD,Coffee Accessories,Main Warehouse,Parked,2,11.95,AUS Wholesale
