SKU,Costo unitario
PSD-puck,3.1
EP-20g,4.65
PSD-HD-E61,27.17
PSD-HD-LM,19.22
PSD-HE-ME,12.23
PSD-HE-LG,12.23
PSD-HD-54,13.72
EP-18g,4.65
V2-PSDring-58mm,7.44
HC7124ST,6.14
PSDdosingCup-BK,6.51
AB3070S-BK,17.5
M12 screw,0.96
Misc. Product,1.57
HG1765,4.7
AB3070EK-BK,35.37
V2-PSD-distributor,51.15
Courier Fee,
HC7123ST,3.5
KBRubber,6.47
PSDcrusher-Stand,6.45
Bellman 600 S/S,0
CA3070KT,20.52
EP-22g,4.65
PSD-CeramicSet,5
UpCart,0
PSD-HE-XL,12.23
PSDHY,9.45
BGeneric2,2.95
PF02LM-FullPOM,27.13
CA3070TM1,2.6
HC7124BK,9.96
PSD-HE-SM,12.23
PSD-AD-SpringTamper,32.24
PSDdosingCup-WH,6.51
PSD-HD-MV,20.15
PSDdosingCup-CH,9.4667
PSD-puck-54,3.1
PSD-removablepins,0.31
CATblack,17.24
PSD-beantube,10.85
PSD-HE-54,12.23
PSDshot-mirror,7.44
E61 paper Spacer,0.35
PSDjug,10.54
HG3021,2.35
HC7125ST,5.52
V2-PSDcrusher-Stand,6.98
ShowerE61,2.59
LM_Seal_6.1mm,1.95
ShowerLM,1.87
PSDLBK,22.29
HC7123BK,7.37
SteamPro - MS-130T,251.823
PSDjug-BK,11.62
FREE-PSD-CeramicSet,0
PSD-PuckHolder,11.32
PortafilterSpring,0.48
HC7124WH,7.56
PSDTMBBk,21.06
V2-PSDring-54mm,7.44
BC2400,6.5
CA3070-Thermometer,3.2
RWBaristaCloth,6.95
PSD-TampingStation,35.65
EP-BR-20g,4.65
HC7125BK,11.73
PSDcrusherRIGA,10.08
PFMOD1-Black,3.1
CA3070-groupbrush,0.85
TPD-Dial,1.55
PSDcrusher-Black,13.02
V2-PSDcrusher-Black,13.02
EP-BR-18g,4.57
AB3070EK-WH,35.37
JRStar - Black Plastic,2.09
PSDdosingCup-BK-54,6.51
PSdepth,6.98
PF00LM-WSL-HY,26.56
HC7123WH,6.6
MeasureCup,2.36
BC2423,12.8
SWRubber_round,1.91
PSDjugWH,10.54
AB3070-ClickTamper,12
NS_ Seal_9mm,1.95
PF00LM-BBK-HY,32.22
LM_Seal_7.1mm,1.95
PF00LM-BSL-HY,32.7283
PSD-T-filter,4.5
AB3070CD,18.74
PSDTMWSl,17.39
PSD-distributor,51.15
PSDcrusherRAYA,10.08
PSD-Beanstand,15.5
PF00LM-FullPOM-HY,22.77
CA3070-Cloth,2.85
PFH00MV-HY,17.63
IMSB28.5,17.14
PFHLM,16.57
HC7124TB,9.7
GroupBrush,1.85
PSD28.5,4.23
PFMOD2-Silver,6.82
HC7124PK,7.56
Tamp-M-BK,850
1186724,0
PSD24.5-BR54,4.23
PSDleva-black,9.92
PFH00LM-HY,17.64
CDFL,3
HC7123TB,6.16
V2-PSDleva-silver,6.82
PSD-PinUP,3.1
PSDleva-silver,6.82
KBBar,4.32
CA3070TM2,3.2
HC7125WH,9.88
AB3070MJ350TBK,5.8
HG6329,56.82
V2-PSDleva-black,9.92
PSD26.5-BR54,4.23
CA3070HG,32
CA3070-Shaker,3
PSDdosingCup-WH-54,6.51
GenuineLM_groupScrew,2.95
PF00NS-FullPOM-HY,26.97
LM paper Spacer,0.2
PF02LM-BSL,32.3915
Thermometer,5.9
IMSB26.5,17.01
PSDcrusher-Silver,9.92
PDJUG500BK,0
PF00LM-BBZ-HY,31.135
PSD24.5,8.5
PSD02Spout,5.43
PF02LM-BBK,36.58
PSDcrusherIRIS,10.08
HC7124VL,7.56
AB3070MJ600TBK,6.1
PFH02LM-HY,27.09
AB3070EK-CH,52.35
Tamp-M-WH,875
AeroPPF,8.95
PSDcrusher-Dusk,13.02
PSD-Beanstand-combo,26.35
AB3070JRL-SS,38.9
V2-PSDcrusher-Silver,9.92
PSDHFullPOM,4.65
BBlind,1.7
VK2005004,12.51
CSSS,6.6
AB3070EK-PK,25.72
PSD-distributor-54m,43.4
HC7123PK,6.16
PSDTMBSl,13.62
NS_ Seal_8.2mm,1.95
PFMOD1-White,3.1
CA3070DKB,16.29
HC7110BK,18.75
E61_Seal_8mm,1.61
AB3070JR-Mechanism,16.9
PRE-BR58-SET,49.72
AB3070EK-BU,35.37
PSDNS,12.5
CA3070-grinderbrush,2.35
CA3070KC,23.36
PSDLM,13.72
PSDTWRaya,15.02
HG3023,2.9
CA3070R-BK,3.3
CATsilver,9.2
AB3070JRL,38.9
PSDTBase,8.84
PF00BR58-BSL-HY,28.04
M10 Screw,0.85
Fee,
PRE-BR54-SET,50.61
HC7107TBK,17.3
PF00LM-BGD-HY,31.14
BEV350TeapotWH,11.28
CaffettoRESTORE,4.27
IMSSHE61,17.01
PSDHWRaya,7.75
PSDT-WAVE-BBK,25.5
HC7107BK,16
PF00LM-FullPOM,21.8746
PF02LM-FullPOM-HY,32.215
SWRubber_straight,1.95
PSDHY-BR,9.46
PFH00BR54-HY,17.64
HG6149BK,12.5
PF00BR54-BSL-HY,28.04
PSDcrusher-Haze,13.02
AB3070JRS-SS,31.5
PF00MV-BSL-HY,28.03
PF00LMBK-Riga-HY,28.19
HC7123VL,6.15
