"Product title","Product variant title","Product variant SKU","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Sunrise Ceramic Set (FREE)","Default Title","FREE-PSD-CeramicSet","2025-01-01",1,0,0,0,0,0,0
"Pesado He[%] - High Extraction Basket","Pesado He[%] Basket - Large","PSD-HE-LG","2025-01-01",1,77.27,-7.72,0,69.55,6.95,76.5
"Shipping Protection","Default Title","UpCart","2025-01-01",2,5.5,0,0,5.5,0.23,5.73
"Clump Crusher (WDT tool)","Riga","PSDcrusherRIGA","2025-01-01",1,45.28,0,0,45.28,0,45.28
"Puck Diffuser Screen","58mm","PSD-puck","2025-01-01",1,25,-2.5,0,22.5,2.25,24.75
"Wooden Leva Accents","Riga","PSDleva-Riga","2025-01-01",4,148.8,0,0,148.8,0,148.8
"Naked Portafilter (Hybrid)","E61 5mm / Black / Riga","PF00MVBK-Riga-HY","2025-01-01",1,163.35,0,0,163.35,0,163.35
"Stand for (WDT) Clump Crusher","Default Title","PSDcrusher-Stand","2025-01-01",1,30.73,0,0,30.73,0,30.73
"Puck Diffuser Screen","54mm","PSD-puck-54","2025-01-02",1,28.1,-2.78,0,25.32,0,25.32
"Shipping Protection","Default Title","UpCart","2025-01-02",1,3.37,0,0,3.37,0,3.37
"Pesado He[%] Breville 54mm - High Extraction Basket","Default Title","PSD-HE-54","2025-01-02",1,87.68,-8.7,0,78.98,0,78.98
"Pesado EP Filter Basket","EP-18g","EP-18g","2025-01-02",1,27.27,0,0,27.27,2.73,30
"Pesado He[%] - High Extraction Basket","Pesado He[%] Basket - Medium","PSD-HE-ME","2025-01-03",1,87.64,0,0,87.64,0,87.64
"Pesado Spouted Portafilter Head","LM/E61","PFHLM","2025-01-03",1,97.57,0,0,97.57,0,97.57
"Hybrid Portafilter Head/Attachment","LM/E61, NS, BR58 Hybrid Attachment Only","PSDHY","2025-01-03",1,35,-35,0,0,0,0
"Tamper","58.5mm / Black / Silver","PSDTMBSl","2025-01-03",1,120,0,0,120,0,120
"Pesado He[%] - High Extraction Basket","Pesado He[%] Basket - Small","PSD-HE-SM","2025-01-03",1,87.64,0,0,87.64,0,87.64
