Purchase Enquiry as of 11/12/2025,,,,,,,,,,,,
Order No.,Order Date,Delivery Date,Receipt Date,Warehouse,Supplier,Product Code,Product Description,Product Group,Sales Order Number,Order Status,Base Unit Qty,Landed Cost (AUD)
PO-00001270,09/12/2025,09/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,,DHL-INBOUNDS,100,697.50
PO-00001270,09/12/2025,09/12/2025,,Main Warehouse,WINKIN 2025 (AUD),EP-BR-18g,EP-BR-18g Pesado Basket - electro polished basket,PESADO,,DHL-INBOUNDS,300,"1,371.00"
PO-00001270,09/12/2025,09/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,,DHL-INBOUNDS,300,"2,046.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),EP-BR-20g,EP-BR-20g Pesado Basket - electro polished basket,PESADO,,PRODUCTION,500,"2,325.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,,PRODUCTION,"1,280","3,968.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,,PRODUCTION,500,"4,727.50"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,,PRODUCTION,500,"4,725.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,,PRODUCTION,"2,000","27,440.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,,PRODUCTION,500,"3,410.00"
PO-00001268,04/12/2025,04/12/2025,,Main Warehouse,WINKIN 2025 (AUD),PSDTMOD1-Black,Pesado Tamper Multi Handle Module 1 - Black,PESADO,,PRODUCTION,500,"1,627.50"
PO-00001267/2,25/11/2025,25/11/2025,,Main Warehouse,WINKIN 2025 (AUD),PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,,DHL-INBOUNDS,"2,000","27,440.00"
PO-00001267/2,25/11/2025,25/11/2025,,Main Warehouse,WINKIN 2025 (AUD),EP-BR-20g,EP-BR-20g Pesado Basket - electro polished basket,PESADO,,DHL-INBOUNDS,100,465.00
PO-00001266/3,25/11/2025,25/11/2025,,Main Warehouse,WINKIN 2025 (AUD),PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO,,DHL-INBOUNDS,50,"1,007.50"
